timestamp,distance_mm,roc_1,roll_std_10,level_pct,anomaly_label,anomaly_class,source
2026-03-26 20:08:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:09:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:10:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:11:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:12:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:13:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:14:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:15:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:16:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:17:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:18:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:19:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:20:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:21:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:22:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:23:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:24:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:25:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:26:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:27:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:28:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:29:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:30:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:31:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:32:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:33:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:34:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:35:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:36:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:37:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:38:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:39:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:40:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:41:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:42:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:43:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:44:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:45:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:46:00,40.0,0.0,0.0,84.0,-1,unknown,real
2026-03-26 20:47:00,40.0,0.0,0.0,84.0,-1,unknown,real
